"","phecode","male_only","female_only"
"403","285.21",FALSE,FALSE
"404","285.22",FALSE,FALSE
"405","285.3",FALSE,FALSE
"406","285.8",FALSE,FALSE
"407","286",FALSE,FALSE
"408","286.1",FALSE,FALSE
"409","286.11",FALSE,FALSE
"410","286.12",FALSE,FALSE
"411","286.13",FALSE,FALSE
"412","286.2",FALSE,FALSE
"413","286.3",FALSE,TRUE
"414","286.4",FALSE,FALSE
"415","286.5",FALSE,FALSE
"416","286.6",FALSE,FALSE
"417","286.7",FALSE,FALSE
"418","286.8",FALSE,FALSE
"419","286.81",FALSE,FALSE
"420","286.9",FALSE,FALSE
"421","287",FALSE,FALSE
"422","287.1",FALSE,FALSE
"423","287.2",FALSE,FALSE
"424","287.3",FALSE,FALSE
"425","287.31",FALSE,FALSE
"426","287.32",FALSE,FALSE
"427","287.4",FALSE,FALSE
"428","288",FALSE,FALSE
"429","288.1",FALSE,FALSE
"430","288.11",FALSE,FALSE
"431","288.2",FALSE,FALSE
"432","288.3",FALSE,FALSE
"433","289",FALSE,FALSE
"434","289.1",FALSE,FALSE
"435","289.3",FALSE,FALSE
"436","289.4",FALSE,FALSE
"437","289.5",FALSE,FALSE
"438","289.8",FALSE,FALSE
"439","289.9",FALSE,FALSE
"440","290",FALSE,FALSE
"441","290.1",FALSE,FALSE
"442","290.11",FALSE,FALSE
"443","290.12",FALSE,FALSE
"444","290.13",FALSE,FALSE
"445","290.16",FALSE,FALSE
"446","290.2",FALSE,FALSE
"447","290.3",FALSE,FALSE
"448","291",FALSE,FALSE
"449","291.1",FALSE,FALSE
"450","291.4",FALSE,FALSE
"451","291.8",FALSE,FALSE
"452","292",FALSE,FALSE
"453","292.1",FALSE,FALSE
"454","292.11",FALSE,FALSE
"455","292.12",FALSE,FALSE
"456","292.2",FALSE,FALSE
"457","292.3",FALSE,FALSE
"458","292.4",FALSE,FALSE
"459","292.5",FALSE,FALSE
"460","292.6",FALSE,FALSE
"461","293",FALSE,FALSE
"462","293.1",FALSE,FALSE
"463","295",FALSE,FALSE
"464","295.1",FALSE,FALSE
"465","295.2",FALSE,FALSE
"466","295.3",FALSE,FALSE
"467","296",FALSE,FALSE
"468","296.1",FALSE,FALSE
"469","296.2",FALSE,FALSE
"470","296.22",FALSE,FALSE
"471","297",FALSE,FALSE
"472","297.1",FALSE,FALSE
"473","297.2",FALSE,FALSE
"474","300",FALSE,FALSE
"475","300.1",FALSE,FALSE
"476","300.11",FALSE,FALSE
"477","300.12",FALSE,FALSE
"478","300.13",FALSE,FALSE
"479","300.2",FALSE,FALSE
"480","300.3",FALSE,FALSE
"481","300.4",FALSE,FALSE
"482","300.8",FALSE,FALSE
"483","300.9",FALSE,FALSE
"484","301",FALSE,FALSE
"485","301.1",FALSE,FALSE
"486","301.2",FALSE,FALSE
"487","302",FALSE,FALSE
"488","302.1",FALSE,FALSE
"489","303",FALSE,FALSE
"490","303.1",FALSE,FALSE
"491","303.3",FALSE,FALSE
"492","303.31",FALSE,FALSE
"493","303.4",FALSE,FALSE
"494","304",FALSE,FALSE
"495","305.2",FALSE,FALSE
"496","305.21",FALSE,FALSE
"497","306",FALSE,FALSE
"498","306.1",FALSE,TRUE
"499","306.9",FALSE,FALSE
"500","312",FALSE,FALSE
"501","312.3",FALSE,FALSE
"502","313",FALSE,FALSE
"503","313.1",FALSE,FALSE
"504","313.2",FALSE,FALSE
"505","313.3",FALSE,FALSE
"506","315",FALSE,FALSE
"507","315.1",FALSE,FALSE
"508","315.2",FALSE,FALSE
"509","315.3",FALSE,FALSE
"510","316",FALSE,FALSE
"511","316.1",FALSE,FALSE
"512","317",FALSE,FALSE
"513","317.1",FALSE,FALSE
"514","317.11",FALSE,FALSE
"515","318",FALSE,FALSE
"516","320",FALSE,FALSE
"517","323",FALSE,FALSE
"518","323.2",FALSE,FALSE
"519","323.8",FALSE,FALSE
"520","324",FALSE,FALSE
"521","324.1",FALSE,FALSE
"522","325",FALSE,FALSE
"523","327",FALSE,FALSE
"524","327.1",FALSE,FALSE
"525","327.3",FALSE,FALSE
"526","327.31",FALSE,FALSE
"527","327.32",FALSE,FALSE
"528","327.4",FALSE,FALSE
"529","327.41",FALSE,FALSE
"530","327.5",FALSE,FALSE
"531","327.6",FALSE,FALSE
"532","327.7",FALSE,FALSE
"533","327.71",FALSE,FALSE
"534","327.72",FALSE,FALSE
"535","331",FALSE,FALSE
"536","331.1",FALSE,FALSE
"537","331.9",FALSE,FALSE
"538","332",FALSE,FALSE
"539","333",FALSE,FALSE
"540","333.1",FALSE,FALSE
"541","333.2",FALSE,FALSE
"542","333.3",FALSE,FALSE
"543","333.4",FALSE,FALSE
"544","333.8",FALSE,FALSE
"545","334",FALSE,FALSE
"546","334.1",FALSE,FALSE
"547","334.2",FALSE,FALSE
"548","334.21",FALSE,FALSE
"549","335",FALSE,FALSE
"550","337",FALSE,FALSE
"551","337.1",FALSE,FALSE
"552","338",FALSE,FALSE
"553","338.1",FALSE,FALSE
"554","338.2",FALSE,FALSE
"555","339",FALSE,FALSE
"556","340",FALSE,FALSE
"557","340.1",FALSE,FALSE
"558","341",FALSE,FALSE
"559","342",FALSE,FALSE
"560","343",FALSE,FALSE
"561","344",FALSE,FALSE
"562","345",FALSE,FALSE
"563","345.1",FALSE,FALSE
"564","345.11",FALSE,FALSE
"565","345.12",FALSE,FALSE
"566","345.3",FALSE,FALSE
"567","346",FALSE,FALSE
"568","346.1",FALSE,FALSE
"569","346.2",FALSE,FALSE
"570","346.3",FALSE,FALSE
"571","347",FALSE,FALSE
"572","348",FALSE,FALSE
"573","348.2",FALSE,FALSE
"574","348.4",FALSE,FALSE
"575","348.7",FALSE,FALSE
"576","348.8",FALSE,FALSE
"577","348.9",FALSE,FALSE
"578","349",FALSE,FALSE
"579","350",FALSE,FALSE
"580","350.1",FALSE,FALSE
"581","350.2",FALSE,FALSE
"582","350.3",FALSE,FALSE
"583","350.5",FALSE,FALSE
"584","350.6",FALSE,FALSE
"585","351",FALSE,FALSE
"586","352",FALSE,FALSE
"587","352.1",FALSE,FALSE
"588","352.2",FALSE,FALSE
"589","353",FALSE,FALSE
"590","353.1",FALSE,FALSE
"591","353.2",FALSE,FALSE
"592","355",FALSE,FALSE
"593","355.1",FALSE,FALSE
"594","356",FALSE,FALSE
"595","357",FALSE,FALSE
"596","358",FALSE,FALSE
"597","358.1",FALSE,FALSE
"598","359",FALSE,FALSE
"599","359.1",FALSE,FALSE
"600","359.2",FALSE,FALSE
"601","360",FALSE,FALSE
"602","360.2",FALSE,FALSE
"603","360.3",FALSE,FALSE
"604","361",FALSE,FALSE
"605","361.1",FALSE,FALSE
"606","361.2",FALSE,FALSE
"607","362",FALSE,FALSE
"608","362.1",FALSE,FALSE
"609","362.2",FALSE,FALSE
"610","362.21",FALSE,FALSE
"611","362.22",FALSE,FALSE
"612","362.23",FALSE,FALSE
"613","362.26",FALSE,FALSE
"614","362.27",FALSE,FALSE
"615","362.29",FALSE,FALSE
"616","362.3",FALSE,FALSE
"617","362.31",FALSE,FALSE
"618","362.4",FALSE,FALSE
"619","362.5",FALSE,FALSE
"620","362.6",FALSE,FALSE
"621","362.7",FALSE,FALSE
"622","362.8",FALSE,FALSE
"623","362.9",FALSE,FALSE
"624","363",FALSE,FALSE
"625","363.3",FALSE,FALSE
"626","363.4",FALSE,FALSE
"627","364",FALSE,FALSE
"628","364.1",FALSE,FALSE
"629","364.2",FALSE,FALSE
"630","364.4",FALSE,FALSE
"631","364.41",FALSE,FALSE
"632","364.5",FALSE,FALSE
"633","364.51",FALSE,FALSE
"634","364.9",FALSE,FALSE
"635","365",FALSE,FALSE
"636","365.1",FALSE,FALSE
"637","365.11",FALSE,FALSE
"638","365.2",FALSE,FALSE
"639","365.5",FALSE,FALSE
"640","366",FALSE,FALSE
"641","366.1",FALSE,FALSE
"642","366.2",FALSE,FALSE
"643","366.3",FALSE,FALSE
"644","367",FALSE,FALSE
"645","367.1",FALSE,FALSE
"646","367.2",FALSE,FALSE
"647","367.8",FALSE,FALSE
"648","367.9",FALSE,FALSE
"649","368",FALSE,FALSE
"650","368.1",FALSE,FALSE
"651","368.2",FALSE,FALSE
"652","368.3",FALSE,FALSE
"653","368.4",FALSE,FALSE
"654","368.5",FALSE,FALSE
"655","368.7",FALSE,FALSE
"656","368.9",FALSE,FALSE
"657","368.91",FALSE,FALSE
"658","369",FALSE,FALSE
"659","369.2",FALSE,FALSE
"660","369.5",FALSE,FALSE
"661","370",FALSE,FALSE
"662","370.1",FALSE,FALSE
"663","370.2",FALSE,FALSE
"664","370.3",FALSE,FALSE
"665","370.31",FALSE,FALSE
"666","371",FALSE,FALSE
"667","371.1",FALSE,FALSE
"668","371.2",FALSE,FALSE
"669","371.21",FALSE,FALSE
"670","371.3",FALSE,FALSE
"671","371.33",FALSE,FALSE
"672","371.9",FALSE,FALSE
"673","372",FALSE,FALSE
"674","374",FALSE,FALSE
"675","374.1",FALSE,FALSE
"676","374.2",FALSE,FALSE
"677","374.3",FALSE,FALSE
"678","374.6",FALSE,FALSE
"679","375",FALSE,FALSE
"680","375.1",FALSE,FALSE
"681","375.2",FALSE,FALSE
"682","376",FALSE,FALSE
"683","377",FALSE,FALSE
"684","377.1",FALSE,FALSE
"685","377.3",FALSE,FALSE
"686","378",FALSE,FALSE
"687","378.1",FALSE,FALSE
"688","378.2",FALSE,FALSE
"689","378.5",FALSE,FALSE
"690","379",FALSE,FALSE
"691","379.1",FALSE,FALSE
"692","379.2",FALSE,FALSE
"693","379.3",FALSE,FALSE
"694","379.4",FALSE,FALSE
"695","379.5",FALSE,FALSE
"696","379.51",FALSE,FALSE
"697","379.9",FALSE,FALSE
"698","380",FALSE,FALSE
"699","380.1",FALSE,FALSE
"700","380.4",FALSE,FALSE
"701","381",FALSE,FALSE
"702","381.1",FALSE,FALSE
"703","381.11",FALSE,FALSE
"704","381.2",FALSE,FALSE
"705","381.3",FALSE,FALSE
"706","381.9",FALSE,FALSE
"707","382",FALSE,FALSE
"708","383",FALSE,FALSE
"709","384",FALSE,FALSE
"710","384.1",FALSE,FALSE
"711","384.4",FALSE,FALSE
"712","385",FALSE,FALSE
"713","385.3",FALSE,FALSE
"714","385.5",FALSE,FALSE
"715","386",FALSE,FALSE
"716","386.1",FALSE,FALSE
"717","386.2",FALSE,FALSE
"718","386.21",FALSE,FALSE
"719","386.3",FALSE,FALSE
"720","386.9",FALSE,FALSE
"721","388",FALSE,FALSE
"722","389",FALSE,FALSE
"723","389.1",FALSE,FALSE
"724","389.2",FALSE,FALSE
"725","389.3",FALSE,FALSE
"726","389.4",FALSE,FALSE
"727","389.5",FALSE,FALSE
"728","394",FALSE,FALSE
"729","394.1",FALSE,FALSE
"730","394.2",FALSE,FALSE
"731","394.3",FALSE,FALSE
"732","394.4",FALSE,FALSE
"733","394.7",FALSE,FALSE
"734","395",FALSE,FALSE
"735","395.1",FALSE,FALSE
"736","395.2",FALSE,FALSE
"737","395.3",FALSE,FALSE
"738","395.4",FALSE,FALSE
"739","395.6",FALSE,FALSE
"740","396",FALSE,FALSE
"741","401",FALSE,FALSE
"742","401.1",FALSE,FALSE
"743","401.2",FALSE,FALSE
"744","401.21",FALSE,FALSE
"745","401.22",FALSE,FALSE
"746","401.3",FALSE,FALSE
"747","411",FALSE,FALSE
"748","411.1",FALSE,FALSE
"749","411.2",FALSE,FALSE
"750","411.3",FALSE,FALSE
"751","411.4",FALSE,FALSE
"752","411.41",FALSE,FALSE
"753","411.8",FALSE,FALSE
"754","411.9",FALSE,FALSE
"755","414",FALSE,FALSE
"756","414.2",FALSE,FALSE
"757","415",FALSE,FALSE
"758","415.1",FALSE,FALSE
"759","415.11",FALSE,FALSE
"760","415.2",FALSE,FALSE
"761","415.21",FALSE,FALSE
"762","416",FALSE,FALSE
"763","418",FALSE,FALSE
"764","418.1",FALSE,FALSE
"765","420",FALSE,FALSE
"766","420.1",FALSE,FALSE
"767","420.2",FALSE,FALSE
"768","420.21",FALSE,FALSE
"769","420.22",FALSE,FALSE
"770","420.3",FALSE,FALSE
"771","425",FALSE,FALSE
"772","425.1",FALSE,FALSE
"773","425.11",FALSE,FALSE
"774","425.12",FALSE,FALSE
"775","425.2",FALSE,FALSE
"776","425.8",FALSE,FALSE
"777","426",FALSE,FALSE
"778","426.2",FALSE,FALSE
"779","426.21",FALSE,FALSE
"780","426.22",FALSE,FALSE
"781","426.23",FALSE,FALSE
"782","426.24",FALSE,FALSE
"783","426.25",FALSE,FALSE
"784","426.3",FALSE,FALSE
"785","426.31",FALSE,FALSE
"786","426.32",FALSE,FALSE
"787","426.4",FALSE,FALSE
"788","426.7",FALSE,FALSE
"789","426.8",FALSE,FALSE
"790","426.9",FALSE,FALSE
"791","426.91",FALSE,FALSE
"792","426.92",FALSE,FALSE
"793","427",FALSE,FALSE
"794","427.1",FALSE,FALSE
"795","427.11",FALSE,FALSE
"796","427.12",FALSE,FALSE
"797","427.2",FALSE,FALSE
"798","427.21",FALSE,FALSE
"799","427.22",FALSE,FALSE
"800","427.3",FALSE,FALSE
"801","427.4",FALSE,FALSE
"802","427.41",FALSE,FALSE
"803","427.42",FALSE,FALSE
"804","427.5",FALSE,FALSE
"805","427.6",FALSE,FALSE
"806","427.61",FALSE,FALSE
"807","427.7",FALSE,FALSE
"808","427.8",FALSE,FALSE
"809","427.9",FALSE,FALSE
"810","428",FALSE,FALSE
"811","428.1",FALSE,FALSE
"812","428.2",FALSE,FALSE
"813","428.3",FALSE,FALSE
"814","428.4",FALSE,FALSE
"815","429",FALSE,FALSE
"816","429.1",FALSE,FALSE
"817","429.2",FALSE,FALSE
"818","429.3",FALSE,FALSE
"819","429.9",FALSE,FALSE
"820","430",FALSE,FALSE
"821","430.1",FALSE,FALSE
"822","430.2",FALSE,FALSE
"823","430.3",FALSE,FALSE
"824","433",FALSE,FALSE
"825","433.1",FALSE,FALSE
"826","433.11",FALSE,FALSE
"827","433.12",FALSE,FALSE
"828","433.2",FALSE,FALSE
"829","433.21",FALSE,FALSE
"830","433.3",FALSE,FALSE
"831","433.31",FALSE,FALSE
"832","433.32",FALSE,FALSE
"833","433.5",FALSE,FALSE
"834","433.6",FALSE,FALSE
"835","433.8",FALSE,FALSE
"836","440",FALSE,FALSE
"837","440.1",FALSE,FALSE
"838","440.2",FALSE,FALSE
"839","440.21",FALSE,FALSE
"840","440.22",FALSE,FALSE
"841","440.9",FALSE,FALSE
"842","441",FALSE,FALSE
"843","441.1",FALSE,FALSE
"844","441.2",FALSE,FALSE
"845","442",FALSE,FALSE
"846","442.1",FALSE,FALSE
